name,subtypes,address,sub_district,district,province,postal_code,country,latitude,longitude,phone,site,description,score
47 Resort,Hotel,"1 Ekkachai 47 Alley, Bang Bon Nuea, Bang Bon, Bangkok 10150",Bang Bon Nuea,Bang Bon,Bangkok,10150,Thailand,13.6822507,100.4416097,+66 91 792 5393,,,0
OYO 387 Little Bangbon,Hotel,"159 Soi, Bang Bon Nuea, Khet Bang Bon, Bangkok 10160",Bang Bon Nuea,Bang Bon,Bangkok,10160,Thailand,13.6564818,100.3729655,+91 85879 76831,https://www.oyorooms.com/th/hotels-in-Bangkok/?utm_source=Google_gmb_so_TH&utm_medium=Organic&utm_campaign=TH_BGK067&locale=en,"Unassuming budget hotel featuring simple quarters, some with living rooms, plus a bar & Wi-Fi.",0
พันหมื่นเรสซิเดนซ์,"Hostel, Extended stay hotel","135 3 Bang Khun Thian-Chai Thalae Rd, Samae Dam, Bang Khun Thian, Bangkok 10150",Samae Dam,Bang Khun Thian,Bangkok,10150,Thailand,13.6638584,100.4303394,+66 88 812 9991,http://www.1000-10000.com/,Bright rooms & suites in a relaxed hotel featuring a restaurant & an outdoor pool pool.,0
Mall Suite Service Apartment,Serviced accommodation,"3530 144 Lat Phrao Rd, Khlong Chan, Bang Kapi District, Bangkok 10240",Khlong Chan,Bang Kapi District,Bangkok,10240,Thailand,13.766499,100.6439258,+66 81 420 7771,https://www.facebook.com/mallsuites/,,0
Thomson Hotel Huamark BANGKOK,"Serviced accommodation, Hotel","Soi 15, Khwaeng Hua Mak, Khet Bang Kapi, 10240",Khwaeng Hua Mak,Khet Bang Kapi,Bangkok,10240,Thailand,13.753689,100.608384,+66 2 318 4288,http://www.thomsonbangkok.com/,"Minimalist rooms & suites, some with kitchenettes, in a casual hotel offering free Wi-Fi & a gym.",0
Livotel Hotel Hua Mak,Hotel,"เลขที่ 33 20 Soi Ramkhamhaeng 32, Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.7533417,100.63607,+66 96 640 4000,http://www.livotelhotel.com/,Minimalist rooms with city views in a hip hotel offering a restaurant & a trendy cafe.,0
Baron Zotel Bangkok,"Hotel, Asian restaurant, Bar, Lodging","77 Lat Phrao 117 Alley, Khlong Chan, Bang Kapi District, Bangkok 10240",Khlong Chan,Bang Kapi District,Bangkok,10240,Thailand,13.7723678,100.6406919,+66 2 734 0033,https://www.baronzotel.com/,"Low-key rooms, some with an industrial vibe, in a laid-back hotel offering a rooftop restaurant/bar.",0
Livotel Express Hotel Ramkhamhaeng 50,"Hotel, Inn","38 Soi Ramkhamhaeng 50, Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.7597073,100.642631,+66 89 043 2233,,"Straightforward rooms with balconies in an unfussy hotel offering Wi-Fi, parking & a lobby lounge.",0
Bangkok Interplace,"Hotel, Restaurant","118, 92 Soi Ramkhamhaeng 24, Khwaeng Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.753245,100.622341,+66 2 319 0330,http://www.bangkokinterplace.com/,Warmly decorated rooms & suites in a trendy hotel offering a fashionable restaurant.,0
Alexander Hotel,Hotel,"อเล็กซานเดอร์ 1 Soi Ramkhamhaeng 83/3, Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.7628635,100.6386013,+66 2 715 8888,http://www.alexanderhotel.co.th/,"Straightforward hotel next to a canal, offering 24-hour dining & an outdoor pool.",0
B2 Bangkok Srinagarindra Boutique & Budget Hotel,"Hotel, Boutique","12, ซอย Srinagarindra 2, หัวหมาก Bang Kapi District, Bangkok 10240",หัวหมาก,Bang Kapi District,Bangkok,10240,Thailand,13.7537757,100.6443912,+66 2 102 5881,http://www.b2hotel.com/bangkok/b2-bangkok-srinakharin-boutique-budget-hotel/,"Warm rooms, some with living areas, in a laid-back budget hotel featuring complimentary Wi-Fi.",0
Royal Pimand,"Hotel, Apartment building, Services","559 ซอย ลาดพร้าว 130 Khlong Chan, Bang Kapi District, Bangkok 10240",Khlong Chan,Bang Kapi District,Bangkok,10240,Thailand,13.7690753,100.6326217,+66 81 845 3815,https://www.royalpimand.com/,Relaxed rooms & suites in a laid-back lodging offering a Japanese restaurant & a lobby lounge.,0
JL Bangkok,Hotel,"5 Ramkhamhaeng 23 Alley, Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.7544276,100.611904,+66 85 075 2556,http://jlbangkok.com/,"Straightforward hotel offering a restaurant and meeting space, plus breakfast & Wi-Fi.",0
Viewplace Mansion วิวเพลส แมนชั่น ลาดพร้าว 130,"Extended stay hotel, Apartment building, Serviced apartment","29 Soi Lat Phrao 130, Khlong Chan, Bang Kapi District, Bangkok 10240",Khlong Chan,Bang Kapi District,Bangkok,10240,Thailand,13.7714468,100.6323554,+66 2 733 9182,https://viewplacemansion.business.site/,"Straightforward budget lodging offering a restaurant & a TV lounge, plus free Wi-Fi & parking.",0
Regent Ramkhamhaeng 22,Hotel,"4 Ramkhamhaeng 22 Alley, Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.7544487,100.6132057,+66 2 318 4444,http://www.regentram.com/,"Simple rooms in an unassuming hotel offering halal dining, a Muslim prayer room & parking.",0
Livotel Hotel Lat Phrao 130,"Hotel, Lodging","707 ซอย ลาดพร้าว 130 Khlong Chan, Bang Kapi District, Bangkok 10240",Khlong Chan,Bang Kapi District,Bangkok,10240,Thailand,13.7649289,100.6333384,+66 86 404 6000,http://www.livotelhotel.com/,"Colorful rooms & suites in a down-to-earth hotel offering a hip cafe, a patio & free Wi-Fi.",0
Kantary House Bangkok Hotel & Serviced Apartments,Hotel,"14 Soi Ramkhamhaeng 42, Khwaeng Hua Mak, Bang Kapi District, Bangkok 10240",Hua Mak,Bang Kapi District,Bangkok,10240,Thailand,13.7609169,100.6396579,+66 2 374 5544,http://www.kantarycollection.com/kantaryhouse-bangkok/,"Bright studio and 1- or 2-bedroom apartments, plus a laid-back restaurant & an outdoor pool.",0
Al Meroz Hotel,Hotel,"4 Ramkhamhaeng 5 Alley, Suan Luang, Bangkok 10250",Suan Luang,Suan Luang,Bangkok,10250,Thailand,13.7460811,100.6038516,+66 2 136 8700,http://www.almerozhotel.com/,Warmly decorated rooms in an Arabian-inspired hotel offering a rooftop pool & halal dining.,0
Icare Residence & Hotel,Hotel,"55/5 Soi80 Petchkasem Rd, Bang Khae Nuea, Bang Khae, Bangkok 10160",Bang Khae Nuea,Bang Khae,Bangkok,10160,Thailand,13.7147518,100.4105276,+66 65 991 9989,https://icareresidencehotel.thailandhotels.site/,"Streamlined rooms in a down-to-earth hotel featuring a restaurant, breakfast & parking.",0
OYO 410 Diamond Boutique Hostel,Hotel,"58/1-2 Phet Kasem Rd, Bang Khae Nuea, Bang Khae, Bangkok 10160",Bang Khae Nuea,Bang Khae,Bangkok,10160,Thailand,13.7068166,100.4165705,+66 2 026 1271,https://www.oyorooms.com/86431/,"Colorful, simply furnished rooms with Wi-Fi in a straightforward budget hotel featuring a lounge.",0
Diamond sweet hotel โรงแรมไดมอนด์ สวีท,Hotel,"58/1 ถ.เพชรเกษม ซ.เพชรเกษม41 Bang Khae, Bangkok 10160",Bang Khae,Bang Khae,Bangkok,10160,Thailand,13.7071732,100.4166285,+66 2 455 2031,https://www.facebook.com/diamondsweethotelbangkae/,"Modest rooms in a straightforward hotel offering a casual restaurant, plus free Wi-Fi.",0
Ruan plaisoi Apartment,Hotel,"55 /1 Phet Kasem 80 Alley, Bang Khae Nuea, Bang Khae, Krung Thep Maha Nakhon 10160",Bang Khae Nuea,Bang Khae,Bangkok,10160,Thailand,13.7149789,100.4105008,+66 84 460 9222,,,0
Chill Apartment,Hotel,"Chill Apartment, 46 Phet Kasem 67 Alley, Lane 4, Lak Song, Bang Khae, Bangkok 10160",Lak Song,Bang Khae,Bangkok,10160,Thailand,13.7072325,100.378848,+66 81 824 7923,https://www.oyorooms.com/86778/,Simple rooms in an unassuming budget hotel offering a fitness room & an outdoor pool.,0
@home Phetkasem 57,"Hotel, Serviced apartment","55/1 Phet Kasem 57 Alley, Lak Song, Bang Khae, Bangkok 10160",Lak Song,Bang Khae,Bangkok,10160,Thailand,13.7074742,100.3926651,+66 80 546 5000,https://home-phetkasem.business.site/,,0
OYO MRT Phetkasem 48/1 Place (โอโย่ เพชรเกษม 48/1),Hostel,"เลขที่ 99 ซอยเพชรเกษม 48/1 ใกล้รถไฟฟ้า MRT สถานีเพชรเกษม 48 บางหว้า, Phasi Charoen, Bangkok 10160",Bang Wa,Phasi Charoen,Bangkok,10160,Thailand,13.7161931,100.4435577,+66 65 493 9496,https://oyomrtphetkasem48place.business.site/?utm_source=gmb&utm_medium=referral,,0
Nonnaisuan resort,Hostel,1041 ถ.บางแวก แขวงบางไผ่ เขตบางแค จังหวัด กรุงเทพ 10160 บางไผ่ บางแค Bangkok 10160,บางไผ่,บางแค,Bangkok,10160,Thailand,13.7464424,100.3561377,+66 95 252 9166,https://www.facebook.com/Nonnaisuan-resort-136727596943135/,Individually decorated rooms in an unassuming guesthouse featuring a garden with a pond.,0
OYO 525 MRT Phetkasem 48/1 Place,Hostel,"99 Soi Phet Kasem 48/1, Khwaeng Bang Wa, Khet Phasi Charoen, Krung Thep Maha Nakhon 10160",Bang Wa,Phasi Charoen,Bangkok,10160,Thailand,13.7163723,100.4436652,+66 2 026 1271,https://www.oyorooms.com/92917/,,0
Wild Ones Hostel,Hostel,"97, 1 Soi Phet Kasem 28 Yaek 5, Khuha Sawan, Phasi Charoen, Bangkok 10160",Khuha Sawan,Phasi Charoen,Bangkok,10160,Thailand,13.7261959,100.4594486,+66 63 313 8028,,,0
โรงแรมเบสท์เวสเทิร์น นาดา ดอนเมือง แอร์พอร์ต,Hotel,"235, 8 Phahonyothin Road, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8795085,100.5988878,+66 2 551 2222,http://www.bwnadadonmueang.com/,,0
The Royal Bee Apart Hotel,"Extended stay hotel, Hotel, Serviced apartment","35 Soi Phaholyothin 69 Phaholyothin Rd., Anusaowari,, ,, Bangkhen, Bangkok 10220",",",Bangkhen,Bangkok,10220,Thailand,13.8879805,100.603264,+66 2 972 4600,http://www.royalbeeaparthotel.com/,No-frills rooms with free Wi-Fi in a straightforward hotel featuring a gym & a cafe.,0
Petchsiri Boutique Hotel - เพชรสิริ บูทิค,Hotel,"Ram Intra 19 Yaek 6 Alley, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8661129,100.616564,+66 94 940 8080,https://www.facebook.com/PetchsiriBoutique/,"Down-to-earth hotel offering parking, as well as streamlined rooms with Wi-Fi & minifridges.",0
B2 Don Mueang Premier Hotel / บีทู ดอนเมือง พรีเมียร์,Hotel,"1 8 Chaeng Watthana 4 Alley, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8787645,100.5933767,+66 2 101 0888,http://www.b2hotel.com/bangkok/b2-don-mueang-premier-hotel/,"Unpretentious hotel offering streamlined rooms with minifridges, plus parking & Wi-Fi.",0
VILLA23 Residence,Hotel,"116/17, Soi Raminthra 23 , Raminthra Road Kwang Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8697697,100.6226265,+66 80 061 2999,,Warmly furnished rooms with minifridges in a laid-back hotel offering parking & Wi-Fi.,0
OYO 106 5 Chang Palace,Hotel,"14 Soi Ram Intra 5, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8725202,100.6151264,+66 2 026 1271,,"Straightforward budget hotel offering low-key rooms, some with balconies, plus complimentary Wi-Fi.",0
OYO 691 Don Muang Boutique House,Hotel,"342/178 Thanon Chaeng Watthana, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8808115,100.5947272,+66 2 026 1271,https://www.oyorooms.com/TH/97462/?utm_source=GMB_TH&utm_medium=Organic&utm_campaign=TH_BGK140&latitude=13.8808028&longitude=100.59474304&locale=en,"Straightforward budget hotel offering modest dorms & private rooms, plus a garden & Wi-Fi.",0
48 Ville Donmuang Airport,Hotel,"94/1 Phahon Yothin 48 Alley, Lane 2, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8844318,100.6064723,+66 88 570 7948,http://www.48ville.com/,"Simple, colorful rooms in a casual hotel offering a coffee shop & a free airport shuttle.",0
Chanmuan Resident,Hotel,"72 Lat Pla Khao road, Soi Lat Pla Khao 72, Anusawari, Bangkhen [Ruethida Apartment] Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.855689,100.612283,+66 81 442 3696,https://www.facebook.com/Ruenthida/,,0
GEMS-PARK service apartment DMK Bangkok,"Hotel, Lodging","ซอย Phahonyothin 59 Rd, Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8832658,100.6001906,+66 84 900 8400,https://www.gems-park.com/,Unpretentious hotel offering down-to-earth rooms with complimentary Wi-Fi & private balconies.,0
OYO 491 5 Diamond,Hotel,"Near Badmnton Court, Bangkok Near Badmnton Court, Bangkok BE_Sai Mai P2",Anusawari,Bang Khen,Bangkok,None,Thailand,13.87261,100.615022,+66 2 026 1271,https://www.oyorooms.com/h/90378/?utm_source=GMB_TH&utm_medium=Organic&utm_campaign=TH_BGK097&latitude=13.87261&longitude=100.615022&locale=en,,0
Livotel Hotel Kaset-Nawamin,Hotel,"333 ซอย พหลโยธิน 34 Sena Nikhom, Chatuchak, Bangkok 10900",Sena Nikhom,Chatuchak,Bangkok,10900,Thailand,13.8395497,100.5826652,+66 95 909 7000,,Streamlined rooms with balconies in a laid-back budget hotel offering free parking & Wi-Fi.,0
Phurahong Homestay,"Homestay, Guest house","45/4 ม.4 พหลโยธิน 52 คลองถนน Khlong Thanon, Sai Mai, Bangkok 10220",Khlong Thanon,Sai Mai,Bangkok,10220,Thailand,13.8841218,100.6240881,+66 96 149 3639,https://www.facebook.com/Phurahong-Homestay-DMK-Airport-1429702757091627/,,0
Thanks pama,Inn,"9 Ram Intra 33 Aly, อนุสาวรีย์ Bang Khen, Bangkok 10220",อนุสาวรีย์,Bang Khen,Bangkok,10220,Thailand,13.8596121,100.6256622,+66 88 909 0353,,,0
5box Donmuang Airport,Hotel,"231 ซอย รามอินทรา Anusawari, Bang Khen, Bangkok 10220",Anusawari,Bang Khen,Bangkok,10220,Thailand,13.8718709,100.6155319,+66 2 026 1271,,"Relaxed, colorful budget hotel in shipping containers featuring a lounge & a rooftop terrace.",0
Paholyothin Park Place,Hotel,"2547 Phahonyothin Road, Lat Yao, Chatuchak, Bangkok 10900",Lat Yao,Chatuchak,Bangkok,10900,Thailand,13.8523025,100.5827045,+66 2 942 7641,https://paholyothinparkplace.thailandhotels.site/,"Warm quarters in an understated hotel featuring a restaurant, massages & a lobby lounge.",0
ชูการ์ เพลส บางขุนเทียน,Hotel,"80/530 Rama II 60/1 Alley, Samae Dam, Bang Khun Thian, Bangkok 10150",Samae Dam,Bang Khun Thian,Bangkok,10150,Thailand,13.6625603,100.4302629,+66 2 416 2504,https://budget-hotel-126.business.site/,,0
Sweet Mansion,"Apartment building, Serviced apartment","เลขที่2 Rama II Soi 59, Samae Dam, Bang Khun Thian, Bangkok 10150",Samae Dam,Bang Khun Thian,Bangkok,10150,Thailand,13.655106,100.4294773,+66 85 234 8886,https://www.facebook.com/sweetmansion0852348886,,0
เอกฉัตร และ44แมนชั่น,Lodging,"299 ซอย พระรามสอง Tha Kham, Bang Khun Thian, Bangkok 10150",Tha Kham,Bang Khun Thian,Bangkok,10150,Thailand,13.6750566,100.4504031,+66 2 415 2255,http://website-783188195263934100941-1.business.site/,,0
ไลเคอ โฮเทล Laike Hotel Rama 2,Hotel,"646 ถ. พระราม ๒ Bang Mot, Chom Thong, Bangkok 10150",Bang Mot,Chom Thong,Bangkok,10150,Thailand,13.6752885,100.4599716,+66 2 409 2345,https://www.facebook.com/profile.php?id=100087913157583&mibextid=LQQJ4d,,0
Black Canyon เซ็นทรัลพระราม2ชั้น4,Coffee shop,"128 ถนน พระรามสอง Samae Dam, Bang Khun Thian, Bangkok 10150",Samae Dam,Bang Khun Thian,Bangkok,10150,Thailand,13.6647474,100.4393387,+66 2 872 4231,http://www.blackcanyoncoffee.com/,,0
HOP INN Bangkok Bang Na,Hotel,"165 Debaratna Rd, แขวงบางนาเหนือ, Bang Na, Bangkok 10260",แขวงบางนาเหนือ,Bang Na,Bangkok,10260,Thailand,13.672023,100.61533,+66 2 659 2899,https://www.hopinnhotel.com/th/our-hotels/hop-inn-bangkok-bangna,,0
Bang Na Pride Hotel and Residence,Hotel,"2 Bang Na-Trat Frontage Rd, Bang Kaeo, Bang Phli District, Samut Prakan 10540",Bang Kaeo,Bang Phli District,Samut Prakan,10540,Thailand,13.6573709,100.66143,+66 2 769 3131,http://www.bangnapride.com/,"Modern quarters in a polished hotel offering dining, an outdoor pool & a gym, plus free Wi-Fi.",0
Novotel Bangkok Bangna,Hotel,"333 Srinakarin Rd, Khwaeng Nong Bon, Prawet, Bangkok 10250",Nong Bon,Prawet,Bangkok,10250,Thailand,13.673146,100.64688,+66 2 366 0505,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1738&merchantid=seo-maps-TH-1738&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNTgyNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Contemporary hotel with streamlined quarters, 4 restaurants & 3 bars, plus an outdoor pool & a spa.",0
Thomson Hotels and Residences Bang Na,"Extended stay hotel, Hotel, Serviced apartment","42 Bangna-Trad Soi 4,, Bangna-Trad Road,, Bangna, Bangkok",Bang Na Tai,Bangna,Bangkok,None,Thailand,13.6689589,100.6143965,+66 2 744 5108,http://www.thomsonbangkok.com/,"Bright rooms & sleek suites, some with kitchens, in a chic hotel with a pool, restaurant & parking.",0
ROMANCE HOTEL BANG NA,Hotel,"19 Soi Srinagarindra 56, Nong Bon, Prawet, Bangkok 10250",Nong Bon,Prawet,Bangkok,10250,Thailand,13.6754466,100.6429481,+66 2 748 9339,,"Casual rooms in a no-nonsense hotel offering a lobby lounge, a gym & complimentary Wi-Fi.",0
Cubic Bang Na Hotel,Hotel,8 ถนนเทพรัตน บางนาใต้ Bangkok 10260,Bang Na Tai,Bang Na,Bangkok,10260,Thailand,13.6726903,100.6069641,+66 83 955 1010,https://www.facebook.com/cubicbangnahotel/,,0
The Journey Hotel Bangna,Hotel,"12/992 หมู่ที่ 15 39 Bang Na-Trat KM. 6 Alley, Bang Kaeo, Bang Phli District, Samut Prakan 10540",Bang Kaeo,Bang Phli District,Samut Prakan,10540,Thailand,13.6633061,100.6597378,+66 2 102 6552,http://www.thejourneyhotel.com/,"Cozy property featuring airy rooms, plus a gym, a coffee shop & complimentary Wi-Fi.",0
Bang Na 21 Residence,"Hotel, Apartment building","25 Soi Bangna-Trad 19 Yak 8, Bang Na Tai, Bang Na, Bangkok 10260",Bang Na Tai,Bang Na,Bangkok,10260,Thailand,13.6714636,100.6317999,+66 81 575 1133,http://www.bangna21.com/,"Straightforward hotel featuring understated rooms, some with terraces & city views.",0
TAKKA Hotel,Hotel,"3048 3048 1 บางนา Bang Na, Bangkok 10260",บางนา,Bang Na,Bangkok,10260,Thailand,13.6764932,100.6078707,+66 97 373 4343,https://www.facebook.com/TAKKAhotel,,0
Lily Hotel Bangkok,"Hotel, Apartment building, Serviced apartment, Vacation home rental agency","24/1 Sukhumvit 68Sukhumvit Rd. Bangna, Bangkok, 10260",Bang Na Nuea,Bang Na,Bangkok,10260,Thailand,13.677419,100.606452,+66 2 744 9090,http://www.lilyhotelbangkok.com/,"Sleek, straightforward hotel with an Asian restaurant, an outdoor pool & a garden terrace.",0
HTel Resort,"Resort hotel, Hotel","23 ซอย 2 Bang Na Tai, Bang Na, Bangkok 10260",Bang Na Tai,Bang Na,Bangkok,10260,Thailand,13.6696251,100.6134002,+66 2 399 2127,,"Laid-back hotel offering streamlined rooms & free Wi-Fi, plus a co-working space.",0
Convenient Park Hotel,Hotel,"12 Sukhumvit 62/3 Alley, Bang Chak, Phra Khanong, Bangkok 10260",Bang Chak,Phra Khanong,Bangkok,10260,Thailand,13.6891299,100.6079073,+66 2 741 6710,https://convenientparkbangkok.thailandhotels.site/,"Unassuming property offering basic rooms & suites, plus a restaurant & a fitness room.",0
B2 Bangna Premier Hotel / บีทู บางนา,Hotel,"9 Soi Sringarindra 65, Nong Bon, Prawet, Bangkok 10250",Nong Bon,Prawet,Bangkok,10250,Thailand,13.674043,100.6467094,+66 2 102 5882,https://www.b2hotel.com/th/bangkok/b2-bangna-premier-hotel/,Understated quarters in an informal hotel offering a terrace & complimentary Wi-Fi.,0
A2 HOTEL,"Apartment building, Fitness center","908 Bangna-Trad soi 12 Bangna-Trad Road South, Bangna, Bang Na, Bangkok 10260",Bangna,Bang Na,Bangkok,10260,Thailand,13.6670307,100.6198208,+66 84 088 5350,,"Modest hotel offering a restaurant & a fitness center, plus an outdoor pool & a Thai spa.",0
Marsi Hotel Bangkok,"Hotel, Restaurant","125 ถนน สุขุมวิท 101/1 บางจาก Phra Khanong, Bangkok 10260",บางจาก,Phra Khanong,Bangkok,10260,Thailand,13.6845108,100.613893,+66 2 399 1970,http://www.marsihotel.com/,Streamlined rooms & suites in a relaxed hotel offering a restaurant & Wi-Fi access.,0
Maple Hotel,Hotel,"9 Srinakarin Rd, Bang Na Tai, Bang Na, Bangkok 10260",Bang Na Tai,Bang Na,Bangkok,10260,Thailand,13.6683884,100.6468686,+66 2 366 9222,https://www.maplehotel.website/th/,"Chic rooms & suites, some with city views, in a hotel with an upscale restaurant & an outdoor pool.",0
Niran Grand Hotel,Hotel,"1 Soi Udomsuk 17 Sukhumvit 103 Rd, Bang Na Tai, Bangna Bangkok 10260",Bang Na Tai,Bangna,Bangkok,10260,Thailand,13.6791053,100.6164797,+66 2 361 0080,http://www.nirangrandbangkok.com/,"Straightforward rooms in a cozy hotel featuring a serene spa, a rooftop pool & a restaurant.",0
ORION Hotel & Residence,Hotel,"54 ซอย บางนา-ตราด 30 Khwaeng Bang Na, Bang Na, Bangkok 10260",Bang Na Tai,Bang Na,Bangkok,10260,Thailand,13.6638312,100.630692,+66 2 399 5444,http://orionhotelbangna.com/,,0
The TEPP,"Extended stay hotel, Furnished apartment building, Holiday apartment rental, Serviced apartment","88 Khang Rong Wai Alley, Bang Na Tai, Bang Na, Bangkok 10260",Bang Na Tai,Bang Na,Bangkok,10260,Thailand,13.6575352,100.621284,+66 2 744 4804,https://utm.io/uh7f,,0
The Riski Hotel @ Bangphlat Station SHA,"Hotel, Auditorium, Inn, Serviced apartment, Student dormitory","359 1 ซอย 77 Bang Phlat, Bangkok 10700",Bang Phlat,Bang Phlat,Bangkok,10700,Thailand,13.7904148,100.5025538,+66 98 190 5090,https://www.theriski-bangphlat.com/?utm_source=googlemap&utm_medium=GMB&utm_campaign=Googlemybusiness,,0
The Royal River Hotel,Hotel,"219 Soi Charan Sanitwong 66/1, Bang Phlat, Bangkok 10700",Bang Phlat,Bang Phlat,Bangkok,10700,Thailand,13.7835552,100.500675,+66 2 422 9222,http://www.royalriverhotel.com/,"Low-key riverfront lodging offering relaxed quarters, a modern piano bar & an outdoor pool.",0
DD Garden Apartment 2,Extended stay hotel,"Boromratchonnani Road Bangbumru, Bang Phlat, Bangkok 10700",Bang Phlat,Bang Phlat,Bangkok,10700,Thailand,13.7864551,100.4706878,+66 64 287 6878,https://ddgardenapartment2.business.site/?utm_source=gmb&utm_medium=referral,,0
Amarin Hotel Rama 8,Hotel,"204/2 Soi Arun Ammarin 49, Bang Yi Khan, Bang Phlat, Bangkok 10700",Bang Yi Khan,Bang Phlat,Bangkok,10700,Thailand,13.7717409,100.487725,+66 2 424 9888,https://www.amarinhg.com/,Streamlined rooms with flat-screens & Wi-Fi in an informal hotel featuring parking & a lobby lounge.,0
